,Destination,Gare destination - code UIC,Prix par km
1010,LILLE EUROPE,87223263,0.0545389307499103
1011,ST JEAN DE LUZ CIBOURE,87677120,0.05448028673835125
1012,ST JEAN DE LUZ CIBOURE,87677120,0.027210884353741496
1013,CALAIS FRETHUN,87281071,0.05436337625178827
1014,LES ARCS DRAGUIGNAN,87755447,0.058830534714779094
1015,VERSAILLES CHANTIERS,87393009,0.06328812752795622
1016,NIMES PONT DU GARD,87703975,0.05418894830659537
1017,TOULOUSE MATABIAU,87611004,0.07217473884140552
1018,PARIS GARE DE LYON,87686006,0.09913435313648761
1019,REDON,87471300,0.06301824212271974
1020,ST GERVAIS LES BAINS LE FAYET,87746479,0.0629511300437818
1021,LYON PERRACHE,87722025,0.07186761229314421
1022,RENNES,87471003,0.08525209587908844
1023,TOULOUSE MATABIAU,87611004,0.06275064873790988
1024,NARBONNE,87781104,0.08507128549546365
1025,BESANCON - F COMTE TGV,87300863,0.026836158192090398
1026,REDON,87471300,0.06255144032921811
1027,BESANCON - F COMTE TGV,87300863,0.0714117923420249
1028,LILLE EUROPE,87223263,0.06687785990848293
1029,SABLE SUR SARTHE,87396408,0.0712611345522738
1030,MONTBARD,87713131,0.053389532841587636
1031,PARIS NORD,87271007,0.08
1032,NANTES,87481002,0.04871999291345558
1033,RENNES,87471003,0.07062146892655367
1034,NIMES PONT DU GARD,87703975,0.008797395970792645
1035,LILLE EUROPE,87223263,0.07013852358407856
1036,BOURG ST MAURICE,87741793,0.06989951944080385
1037,CHALON SUR SAONE,87725002,0.04353883664228492
1038,ROUEN RIVE DROITE,87411017,0.0650872168706066
1039,LISIEUX,87444265,0.06919218128351497
1040,REDON,87471300,0.07757951900698215
1041,BEAUNE,87713545,0.034364261168384876
1042,CALAIS FRETHUN,87281071,0.034249507663327336
1043,BELFORT-MONTBELIARD TGV,87300822,0.06400409626216078
1044,PARIS GARE DE LYON,87686006,0.0680445691928213
1045,NARBONNE,87781104,0.06358087487283826
1046,LANDRY,87741777,0.06337135614702155
1047,NIMES PONT DU GARD,87703975,0.05895233282802763
1048,RENNES,87471003,0.046168051708217916
1049,AGDE,87781278,0.07948460508701473
1050,MOUTIERS SALINS BRIDES L BAINS,87741728,0.06254691018263699
1051,MONTPELLIER SAINT-ROCH,87773002,0.058187863674147966
1052,ST GERVAIS LES BAINS LE FAYET,87746479,0.07042837020465656
1053,NICE VILLE,87756056,0.06194251734390486
1054,MOUTIERS SALINS BRIDES L BAINS,87741728,0.0658598830987075
1055,MANTES LA JOLIE,87381509,0.05744296733957
1056,LANDRY,87741777,0.06134969325153374
1057,ANNEMASSE,87745497,0.016307893020221786
1058,MODANE,87742007,0.060960741282613994
1059,SALLANCHES COMBLOUX MEGEVE,87746438,0.060768108896451144
1060,LYON PART DIEU,87723197,0.0646151360956304
1061,TGV HAUTE PICARDIE,87313882,0.05636070853462158
1062,AGDE,87781278,0.06019744762822056
1063,ST BRIEUC,87473009,0.07201152184349496
1064,BELLEGARDE,87745000,0.05583472920156337
1065,MONTPELLIER SAINT-ROCH,87773002,0.05566157760814249
1066,RENNES,87471003,0.06341656757827982
1067,ANTIBES,87757674,0.0158052789631737
1068,BESANCON - F COMTE TGV,87300863,0.06302686520129205
1069,AURAY,87476200,0.0471253534401508
1070,PARIS NORD,87271007,0.0626419231070394
1071,FUTUROSCOPE,87324095,0.0117096018735363
1072,AEROPORT CDG2 TGV ROISSY,87271494,0.015565413650867771
1073,AEROPORT CDG2 TGV ROISSY,87271494,0.027157045313469897
1074,AVIGNON TGV,87318964,0.038678734431809386
1075,BEAUNE,87713545,0.03856239395341663
1076,ARRAS,87342014,0.06151480199923106
1077,ST MICHEL VALLOIRE,87742361,0.04983134007973015
1078,ST BRIEUC,87473009,0.0687915615684476
1079,LES ARCS DRAGUIGNAN,87755447,0.060966316110349035
1080,AGDE,87781278,0.0721829648203024
1081,LYON-SAINT EXUPERY TGV,87762906,0.022727272727272728
1082,REDON,87471300,0.05287408414532819
1083,LE CREUSOT MONTCEAU MONTCHANIN,87694109,0.052718782949239346
1084,BELFORT-MONTBELIARD TGV,87300822,0.06382818953217692
1085,ETAPLES LE TOUQUET,87317065,0.014974543276430068
1086,LANDERNEAU,87474239,0.05225830533781262
1087,LYON PART DIEU,87723197,0.037218996575852314
1088,HYERES,87755629,0.007422251911229868
1089,PERPIGNAN,87784009,0.051805802249851984
1090,BELLEGARDE,87745000,0.06641576267434138
1091,MACON LOCHE TGV,87725705,0.044150110375275935
1092,VITRE,87471508,0.029349181891554773
1093,NARBONNE,87781104,0.036581796897863623
1094,PLOUARET TREGOR,87473181,0.05836433938863355
1095,REDON,87471300,0.06547359231776516
1096,ARRAS,87342014,0.06528835690968444
1097,ST BRIEUC,87473009,0.03616898148148148
1098,ST AVRE LA CHAMBRE,87741306,0.06852773569934358
1099,ST RAPHAEL VALESCURE,87757526,0.05394907207596029
1100,SETE,87773200,0.0681443225019726
1101,ST RAPHAEL VALESCURE,87757526,0.050071530758226034
1102,ARRAS,87342014,0.06063199942934589
1103,ST BRIEUC,87473009,0.049793711765542745
1104,LYON PERRACHE,87722025,0.056749663048875645
1105,BELFORT-MONTBELIARD TGV,87300822,0.028296547821165814
1106,PLOUARET TREGOR,87473181,0.02821869488536155
1107,AIX EN PROVENCE TGV,87319012,0.038694245110454474
1108,ST BRIEUC,87473009,0.021048200378867607
1109,ARRAS,87342014,0.0559753708368318
1110,BOURG ST MAURICE,87741793,0.055823040960156306
1111,ST RAPHAEL VALESCURE,87757526,0.08350730688935283
1112,MIRAMAS,87753004,0.027760427510583663
1113,ARRAS,87342014,0.05537098560354375
1114,AIME LA PLAGNE,87741769,0.062124663491406086
1115,BESANCON - F COMTE TGV,87300863,0.05163155720776539
1116,ARRAS,87342014,0.06522485410230003
1117,RENNES,87471003,0.06505067104902766
1118,BELFORT-MONTBELIARD TGV,87300822,0.023902205832138222
1119,FRASNE,87715136,0.040866366979975484
1120,DOUAI,87345009,0.06793016778751443
1121,CHAMBERY CHALLES LES EAUX,87741009,0.06436314363143632
1122,EVREUX - NORMANDIE,87387001,0.054057706601797414
1123,TGV HAUTE PICARDIE,87313882,0.04717616929505324
1124,BEAUNE,87713545,0.03696981918397526
1125,ARRAS,87342014,0.043577366586216144
1126,SALLANCHES COMBLOUX MEGEVE,87746438,0.06018054162487462
1127,ST GERVAIS LES BAINS LE FAYET,87746479,0.03334667200213419
1128,BELLEGARDE,87745000,0.029934144881261223
1129,PERPIGNAN,87784009,0.05307855626326964
1130,DOUAI,87345009,0.05294156574680696
1131,PARIS MONTPARNASSE 1 ET 2,87391003,0.052805280528052806
1132,AURAY,87476200,0.03274754393420494
1133,VITRE,87471508,0.051993153573289014
1134,ST MICHEL VALLOIRE,87742361,0.045146837998178375
1135,DOUAI,87345009,0.0480052769159358
1136,REDON,87471300,0.03176296583662682
1137,ARRAS,87342014,0.05044160469761509
1138,SALLANCHES COMBLOUX MEGEVE,87746438,0.03129254950672432
1139,PARIS MONTPARNASSE 1 ET 2,87391003,0.0341687809736087
1140,ST AVRE LA CHAMBRE,87741306,0.024668691005814092
1141,BESANCON - F COMTE TGV,87300863,0.0397962283551048
1142,DOUAI,87345009,0.015196158040043617
1143,AGDE,87781278,0.021122705180475893
1144,ST PIERRE DES CORPS,87571240,0.05393042563410562
1145,REDON,87471300,0.05355074603138556
1146,ST JEAN DE MAURIENNE ARVAN,87742320,0.011816972239135828
1147,PARIS MONTPARNASSE 1 ET 2,87391003,0.05280720220365933
1148,AURAY,87476200,0.05244311989858328
1149,PARIS MONTPARNASSE 1 ET 2,87391003,0.04919046672409604
1150,TOULON,87755009,0.040234297874207486
1151,AVIGNON TGV,87318964,0.04567145316279171
1152,DOUAI,87345009,0.048200333311689714
1153,AURAY,87476200,0.05069550448261776
1154,TGV HAUTE PICARDIE,87313882,0.03916878457168485
1155,LES ARCS DRAGUIGNAN,87755447,0.05558738039165765
1156,TGV HAUTE PICARDIE,87313882,0.03037329005332715
1157,AIME LA PLAGNE,87741769,0.03840596402320273
1158,QUIMPER,87474098,0.05178619728273308
1159,TGV HAUTE PICARDIE,87313882,0.03520558989518947
1160,MONTPELLIER SAINT-ROCH,87773002,0.037672288067703306
1161,ST BRIEUC,87473009,0.048129324597391464
1162,BELLEGARDE,87745000,0.01859927387785733
1163,TGV HAUTE PICARDIE,87313882,0.034325680769153245
1164,LAMBALLE,87473108,0.031488492278108286
1165,ARRAS,87342014,0.046941253757490094
1166,AURAY,87476200,0.015551114892269948
1167,NICE VILLE,87756056,0.05667315595933376
1168,AVIGNON TGV,87318964,0.007681332212731857
1169,ROSPORDEN,87474155,0.03563033046451537
1170,ARRAS,87342014,0.04047660429098353
1171,HYERES,87755629,0.015088399593035533
1172,DOUAI,87345009,0.039997710054767856
1173,NIMES PONT DU GARD,87703975,0.04473279836093563
1174,LYON PART DIEU,87723197,0.03953001527638949
1175,PERPIGNAN,87784009,0.03930024562653517
1176,PARIS GARE DE LYON,87686006,0.03418899017579181
1177,ROSPORDEN,87474155,0.03156450985116676
1178,NARBONNE,87781104,0.04828336066933269
1179,MASSY TGV,87393702,0.0336063621204625
1180,AURAY,87476200,0.04296412368128564
1181,BOURG ST MAURICE,87741793,0.03560234087656043
1182,SETE,87773200,0.023602327802100784
1183,RENNES,87471003,0.04459534517047999
1184,LANDRY,87741777,0.0326782246137947
1185,LYON-SAINT EXUPERY TGV,87762906,0.013928020838870873
1186,MASSY TGV,87393702,0.01846923849637841
1187,PARIS MONTPARNASSE 1 ET 2,87391003,0.04132999141149457
1188,ST MICHEL VALLOIRE,87742361,0.036539232606383906
1189,NIMES,87775007,0.02271426837514955
1190,VALENCE VILLE,87761007,0.006777848679785454
1191,PARIS MONTPARNASSE 1 ET 2,87391003,0.040450825999691215
1192,ST GERVAIS LES BAINS LE FAYET,87746479,0.040236847942938074
1193,QUIMPER,87474098,0.04224873966696654
1194,VALENCE VILLE,87761007,0.030967698360434292
1195,ST RAPHAEL VALESCURE,87757526,0.01760368199150051
1196,BESANCON - F COMTE TGV,87300863,0.04815935029995154
1197,REDON,87471300,0.023955579937825214
1198,ST NAZAIRE,87481705,0.03033260010254205
1199,BEAUNE,87713545,0.030177875043193525
1200,LYON-SAINT EXUPERY TGV,87762906,0.01501236023116088
1201,NICE VILLE,87756056,0.010668968774941768
1202,ALBERTVILLE,87741645,0.027599954621331215
1203,CHAMBERY CHALLES LES EAUX,87741009,0.031686904358763486
1204,MACON LOCHE TGV,87725705,0.012611716380790398
1205,LOURDES,87671339,0.03555633611674357
1206,MACON LOCHE TGV,87725705,0.016649984906979328
1207,LYON PART DIEU,87723197,0.0414209602706591
1208,QUIMPER,87474098,0.020609474065100768
1209,LYON-SAINT EXUPERY TGV,87762906,0.016407558749393328
1210,VANNES,87476606,0.03673870027889005
1211,ANTIBES,87757674,0.012187369171848107
1212,VALENCE TGV RHONE-ALPES SUD,87763029,0.028301158896964648
1213,ARRAS,87342014,0.024142644326017846
1214,PARIS MONTPARNASSE 1 ET 2,87391003,0.030035308683490514
1215,ST RAPHAEL VALESCURE,87757526,0.01992910714557376
1216,NIMES PONT DU GARD,87703975,0.027769786351316567
1217,ST RAPHAEL VALESCURE,87757526,0.027640046418398564
1218,FUTUROSCOPE,87324095,0.017685972728500067
1219,ST BRIEUC,87473009,0.023472145491466707
1220,AURAY,87476200,0.027257999791923664
1221,NARBONNE,87781104,0.01938070510259938
1222,MACON VILLE,87725689,0.019292225674859727
1223,MOUTIERS SALINS BRIDES L BAINS,87741728,0.028806825678389752
1224,ORANGE,87765107,0.00955883426002948
1225,ARRAS,87342014,0.02283788299216945
1226,ARRAS,87342014,0.034103235323893956
1227,PARIS MONTPARNASSE 1 ET 2,87391003,0.03017868198637928
1228,MONTPELLIER SAINT-ROCH,87773002,0.026289007066783252
1229,ARRAS,87342014,0.028042184578939103
1230,ARRAS,87342014,0.03350240825199267
1231,SALLANCHES COMBLOUX MEGEVE,87746438,0.029649328787857355
1232,SETE,87773200,0.014759939720856865
1233,DOUAI,87345009,0.029391555536858634
1234,LYON-SAINT EXUPERY TGV,87762906,0.020119235441129243
1235,LANDERNEAU,87474239,0.02913822584905398
1236,PARIS MONTPARNASSE 1 ET 2,87391003,0.02175989369212242
1237,LYON-SAINT EXUPERY TGV,87762906,0.012639036290711619
1238,ST NAZAIRE,87481705,0.014383157432441705
1239,SETE,87773200,0.025063889686086395
1240,VALENCE TGV RHONE-ALPES SUD,87763029,0.02852360409890723
1241,CLUSES  74,87746370,0.026628542002628975
1242,AURAY,87476200,0.03182057406582729
1243,DOL DE BRETAGNE,87478073,0.02112534100224423
1244,DOUAI,87345009,0.028050265647792512
1245,VALENCE TGV RHONE-ALPES SUD,87763029,0.027934375541428438
1246,VALENCIENNES,87343004,0.01738714943657672
1247,BOURG ST MAURICE,87741793,0.025973854308487435
1248,ST GERVAIS LES BAINS LE FAYET,87746479,0.03104142806366257
1249,AURAY,87476200,0.030915264903701178
1250,PARIS MONTPARNASSE 1 ET 2,87391003,0.037632372719794215
1251,MORLAIX,87474338,0.030665990402247274
1252,VANNES,87476606,0.030542854552284237
1253,DOUAI,87345009,0.027040625443474
1254,NANTES,87481002,0.013466455932050937
1255,ST GERVAIS LES BAINS LE FAYET,87746479,0.023472796385650106
1256,NIMES PONT DU GARD,87703975,0.030060043598536514
1257,NANTES,87481002,0.026614859116478103
1258,VALENCIENNES,87343004,0.013255252140697924
1259,ARCACHON,87582668,0.023106094011817617
1260,SALLANCHES COMBLOUX MEGEVE,87746438,0.02301620169923321
1261,NANTES,87481002,0.026202292700611304
1262,PARIS MONTPARNASSE 1 ET 2,87391003,0.01957585644371941
1263,MOUTIERS SALINS BRIDES L BAINS,87741728,0.02270282792514024
1264,PARIS MONTPARNASSE 1 ET 2,87391003,0.02095670482958284
1265,AURAY,87476200,0.02884662556622132
1266,TARBES,87671008,0.02708502682490652
1267,POITIERS,87575001,0.0190079037967318
1268,AURAY,87476200,0.018898245162949155
1269,MASSY TGV,87393702,0.020355664914439103
1270,ANCENIS,87481192,0.021796460458170495
1271,AIME LA PLAGNE,87741769,0.023220914619698284
1272,POITIERS,87575001,0.015393314903242021
1273,PARIS MONTPARNASSE 1 ET 2,87391003,0.021429798666104366
1274,PLOUARET TREGOR,87473181,0.018265974961945885
1275,PORNICHET,87481747,0.021192134814105437
1276,ARRAS,87342014,0.02258064516129032
1277,SABLE SUR SARTHE,87396408,0.020959684688125393
1278,LA BAULE ESCOUBLAC,87481754,0.017867452672521194
1279,MASSY PALAISEAU,87393579,0.007404385209362769
1280,DOUAI,87345009,0.022093302873632318
1281,LISON,87447219,0.023439718962553258
