,Transporteur,Gare origine,Gare origine - code UIC,Destination,Gare destination - code UIC,Classe,Profil tarifaire,Prix minimum,Prix maximum
13734,TGV INOUI,LILLE EUROPE,87223263,SETE,87773200,2,Tarif Elève - Etudiant - Apprenti,19.0,19.0
13735,TGV INOUI,VERSAILLES CHANTIERS,87393009,LYON PART DIEU,87723197,2,Tarif Elève - Etudiant - Apprenti,11.0,11.0
13736,TGV INOUI,FACTURE BIGANOS,87582478,ARCACHON,87582668,2,Tarif Elève - Etudiant - Apprenti,6.0,6.0
13739,TGV INOUI,CHAMBERY CHALLES LES EAUX,87741009,VERSAILLES CHANTIERS,87393009,2,Tarif Elève - Etudiant - Apprenti,12.0,12.0
13746,TGV INOUI,LILLE FLANDRES,87286005,PARIS NORD,87271007,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
13750,TGV INOUI,ANGOULEME,87583005,AEROPORT CDG2 TGV ROISSY,87271494,2,Tarif Elève - Etudiant - Apprenti,12.0,12.0
13751,TGV INOUI,MASSY TGV,87393702,AURAY,87476200,2,Tarif Elève - Etudiant - Apprenti,12.0,12.0
13752,TGV INOUI,ST MAIXENT DEUX SEVRES,87485490,ST PIERRE DES CORPS,87571240,2,Tarif Elève - Etudiant - Apprenti,14.0,14.0
13753,TGV INOUI,VITRY LE FRANCOIS GARE,87174276,BAR LE DUC,87175042,2,Tarif Elève - Etudiant - Apprenti,10.0,10.0
13754,TGV INOUI,ST JEAN DE MAURIENNE ARVAN,87742320,AEROPORT CDG2 TGV ROISSY,87271494,2,Tarif Elève - Etudiant - Apprenti,13.0,13.0
13755,TGV INOUI,MASSY PALAISEAU,87393579,MARSEILLE ST CHARLES,87751008,2,Tarif Elève - Etudiant - Apprenti,14.0,14.0
13757,TGV INOUI,STRASBOURG,87212027,COLMAR,87182014,2,Tarif Elève - Etudiant - Apprenti,10.0,10.0
13758,TGV INOUI,LILLE EUROPE,87223263,ST PIERRE DES CORPS,87571240,2,Tarif Elève - Etudiant - Apprenti,12.0,12.0
13759,TGV INOUI,MASSY TGV,87393702,MONTAUBAN VILLE BOURBON,87611244,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
13760,TGV INOUI,TOURS,87571000,CHATELLERAULT,87575142,2,Tarif Elève - Etudiant - Apprenti,10.0,10.0
13761,TGV INOUI,METZ VILLE,87192039,COLMAR,87182014,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
13762,TGV INOUI,STRASBOURG,87212027,NIMES,87775007,2,Tarif Elève - Etudiant - Apprenti,14.0,14.0
13763,TGV INOUI,VERSAILLES CHANTIERS,87393009,BOURG ST MAURICE,87741793,2,Tarif Elève - Etudiant - Apprenti,14.0,14.0
13764,TGV INOUI,FACTURE BIGANOS,87582478,ST PIERRE DES CORPS,87571240,2,Tarif Elève - Etudiant - Apprenti,9.0,9.0
