Transporteur ;Origine;Origine_uic;Destination ;Destination_uic ;Distance entre les gares;Train - Empreinte carbone (kgCO2e) ;Autocar longue distance - Empreinte carbone (kgCO2e);Avion - Empreinte carbone (kgCO2e);Voiture électrique (2,2 pers.) - Empreinte carbone (kgCO2e);Voiture thermique (2,2 pers.) - Empreinte carbone (kgCO2e)
TGV;Paris Nord;87271007;Arras;87342014;179;0.6;5.7;42.4;8.9;20.5
TGV;Paris Gare du Nord;87271007;Douai;87345009;204;0.7;5.9;46.0;9.3;21.4
TGV;Marne-la-Vallée-Chessy;87111849;Lille Europe;87223263;227;0.8;7.3;51.5;11.4;26.2
TGV;Paris Gare du Nord;87271007;Lens;87345025;198;0.7;6.4;46.5;10.1;23.1
TGV;Paris Gare de Lyon;87686006;Lyon Part Dieu;87723197;429;1.5;14.0;102.4;21.9;50.3
TGV;Paris Gare de Lyon;87686006;Nice;87756056;972;3.4;28.0;179.1;43.9;100.9
TGV;Paris Gare de Lyon;87686006;Montpellier Saint-Roch;87773002;739;2.6;22.5;155.0;35.2;80.9
TGV;Lyon Part Dieu;87723197;Marseille Saint-Charles;87751008;325;1.1;9.5;72.0;14.8;34.0
TGV;Lyon Part Dieu;87723197;Montpellier Saint-Roch;87773002;314;1.1;9.1;65.3;14.2;32.7
Intercités;Paris-Gare-de-Lyon;87686006;Clermont-Ferrand;87734004;419;3.1;12.7;90.5;19.9;45.8
Intercités;Marseille Saint-Charles;87751008;Bordeaux Saint-Jean;87581009;680;5.1;19.4;131.6;30.4;69.9
Intercités;Paris-Austerlitz;87547000;Brive-la-Gaillarde;87594002;498;3.7;14.5;108.2;22.7;52.3
Intercités;Bordeaux Saint-Jean;87581009;Nantes;87481002;525;3.9;10.6;71.5;16.6;38.2
Intercités;Lyon-Part-Dieu;87723197;Nantes;87481002;812;6.1;20.6;134.2;32.2;74.1
TER;Grenoble;87747006;Lyon Part-Dieu;87723197;131;4.0;3.4;24.7;5.3;12.2
International;Paris Est;87113001;Frankfurt Main HBF;80110684;659;2.7;17.2;125.1;26.9;61.9
International;Nimes Centre;87775007;Barcelona Sants;71718010;394;1.7;11.8;84.8;18.5;42.6
International;Chambery Challes-les-Eaux;87741009;Torino Porta Susa;83002220;202;1.4;6.2;38.7;9.8;22.5
International;Marseille Saint-Charles;87751008;Geneve;85010082;521;1.8;13.8;85.5;21.7;49.8
International;Paris Est;87113001;Freiburg Breisgau HBF;80143503;530;2.0;17.9;108.9;28.0;64.4
International;Paris Est;87113001;Muenchen HBF;80203471;843;3.8;25.0;178.6;39.2;90.0
